time,open,high,low,close,volume,bid,ask,spread,MACD_15_30_9,MACDh_15_30_9,MACDs_15_30_9,EMA_10,EMA_50,EMA_100
2022-07-20 03:00:00,1.0242,1.02426,1.02397,1.02414,277,1.02407,1.02422,-0.00014999999999987246,-8.571799201151364e-05,,,1.0238898503170775,,
2022-07-20 03:05:00,1.02412,1.02434,1.02398,1.02418,189,1.0241,1.02425,-0.0001500000000000945,-5.95230799786961e-05,0.00011603395398323494,-0.00017555703396193105,1.0239426048048814,,
2022-07-20 03:10:00,1.02416,1.02432,1.02412,1.02424,222,1.02415,1.02434,-0.0001900000000001345,-3.3972219887212773e-05,0.00011326785125977462,-0.0001472400711469874,1.0239966766585393,,
2022-07-20 03:15:00,1.02425,1.02451,1.02423,1.0244,166,1.02431,1.02448,-0.00017000000000000348,-3.1062157004324575e-06,0.00011530708435724395,-0.00011841330005767641,1.0240700081751686,,
2022-07-20 03:20:00,1.02442,1.0246,1.02432,1.02434,166,1.02426,1.02441,-0.0001500000000000945,1.855512011128546e-05,0.00010957473613516951,-9.101961602388405e-05,1.0241190975978651,,
2022-07-20 03:25:00,1.02434,1.02448,1.02418,1.02438,253,1.0243,1.02445,-0.0001500000000000945,3.855568837574097e-05,0.00010366024351970002,-6.510455514395905e-05,1.0241665343982531,,
2022-07-20 03:30:00,1.02436,1.0245,1.02427,1.02436,135,1.02428,1.02444,-0.00015999999999993797,5.3406510879261404e-05,9.480885281857636e-05,-4.140234193931496e-05,1.0242017099622072,,
2022-07-20 03:35:00,1.02436,1.0244,1.02402,1.02402,138,1.02394,1.0241,-0.00015999999999993797,4.456741388914054e-05,6.87758046627644e-05,-2.420839077362386e-05,1.0241686717872605,,
2022-07-20 03:40:00,1.024,1.0244,1.02394,1.02434,192,1.02425,1.02442,-0.00017000000000000348,5.6327609386119804e-05,6.442880012779493e-05,-8.101190741675127e-06,1.0241998223713948,,
2022-07-20 03:45:00,1.02434,1.0244,1.02422,1.02426,233,1.02418,1.02435,-0.00017000000000000348,6.066093385026505e-05,5.500969967355214e-05,5.651234176712909e-06,1.024210763758414,,
2022-07-20 03:50:00,1.02428,1.02428,1.02402,1.02422,212,1.02415,1.0243,-0.0001500000000000945,6.129941368304692e-05,4.4518543605067207e-05,1.678087007797971e-05,1.0242124430750659,,
2022-07-20 03:55:00,1.02422,1.02434,1.02416,1.02432,116,1.02425,1.0244,-0.00014999999999987246,6.737607730666895e-05,4.047616578295139e-05,2.6899911523717557e-05,1.0242319988795994,,
2022-07-20 04:00:00,1.02431,1.02435,1.02418,1.02432,219,1.02424,1.02439,-0.00014999999999987246,7.180676505269545e-05,3.592548282318232e-05,3.5881282229513134e-05,1.0242479990833084,,
2022-07-20 04:05:00,1.02431,1.02446,1.02427,1.02436,218,1.02429,1.02444,-0.0001500000000000945,7.727376538468889e-05,3.3113986524140596e-05,4.415977886054829e-05,1.0242683628863432,1.0240072,
2022-07-20 04:10:00,1.02437,1.02452,1.02424,1.0245,169,1.02443,1.02458,-0.0001500000000000945,8.959333609670495e-05,3.634684578892532e-05,5.3246490307779625e-05,1.0243104787251898,1.0240265254901961,
2022-07-20 04:15:00,1.02454,1.02482,1.02446,1.02448,179,1.0244,1.02457,-0.00017000000000000348,9.774529650941055e-05,3.5599044961304735e-05,6.214625154810582e-05,1.0243413007751552,1.024044308804306,
2022-07-20 04:20:00,1.02448,1.02474,1.02446,1.02455,115,1.02448,1.02462,-0.000140000000000029,0.00010786367300452682,3.65739371651368e-05,7.128973583939002e-05,1.0243792460887633,1.0240641398315882,
2022-07-20 04:25:00,1.02454,1.02465,1.02444,1.02446,236,1.02438,1.02455,-0.00017000000000000348,0.00010983263704678059,3.0834320965912455e-05,7.899831608086814e-05,1.024393928618079,1.0240796637597611,
2022-07-20 04:30:00,1.02448,1.02474,1.02422,1.02469,297,1.02461,1.02477,-0.00015999999999993797,0.00012446987263747822,3.637724524528806e-05,8.809262739219016e-05,1.0244477597784283,1.0241035985142803,
2022-07-20 04:35:00,1.02466,1.02479,1.02448,1.02455,167,1.02448,1.02462,-0.000140000000000029,0.00012697962699093068,3.110959967899242e-05,9.587002731193826e-05,1.024466348909623,1.0241211044548968,
2022-07-20 04:40:00,1.02458,1.02464,1.02442,1.02464,145,1.02456,1.02472,-0.00016000000000016001,0.0001334535015060645,3.006677935530099e-05,0.00010338672215076351,1.0244979218351462,1.0241414532998028,
